,timestamp,adjusted_close
91,2018-02-21,76.51
92,2018-02-20,77.06
93,2018-02-16,78.37
94,2018-02-15,78.295
95,2018-02-14,77.27
96,2018-02-13,74.97
97,2018-02-12,75.28
98,2018-02-09,74.75
99,2018-02-08,72.32
100,2018-02-07,75.59
101,2018-02-06,75.68
102,2018-02-05,74.705
103,2018-02-02,76.57
104,2018-02-01,78.4
105,2018-01-31,85.32
106,2018-01-30,83.78
107,2018-01-29,84.31
108,2018-01-26,85.45
109,2018-01-25,84.34
110,2018-01-24,83.71
111,2018-01-23,84.21
112,2018-01-22,83.98
113,2018-01-19,83.84
114,2018-01-18,82.94
115,2018-01-17,82.47
116,2018-01-16,80.42
117,2018-01-12,80.54
118,2018-01-11,79.75
119,2018-01-10,79.37
120,2018-01-09,79.19
121,2018-01-08,79.05
122,2018-01-05,78.7
123,2018-01-04,76.73
124,2018-01-03,76.75
125,2018-01-02,73.84
126,2017-12-29,73.62
127,2017-12-28,74.17
128,2017-12-27,74.59
129,2017-12-26,74.27
130,2017-12-22,73.89
131,2017-12-21,74.02
132,2017-12-20,74.0
133,2017-12-19,74.5
134,2017-12-18,75.32
135,2017-12-15,75.65
136,2017-12-14,74.26
137,2017-12-13,74.09
138,2017-12-12,73.62
139,2017-12-11,73.29
140,2017-12-08,72.91
141,2017-12-07,73.69
142,2017-12-06,73.14
143,2017-12-05,71.2
144,2017-12-04,70.97
145,2017-12-01,75.3
146,2017-11-30,75.73
147,2017-11-29,73.25
148,2017-11-28,77.79
149,2017-11-27,77.84
150,2017-11-24,78.57
151,2017-11-22,77.57
152,2017-11-21,77.77
153,2017-11-20,76.01
154,2017-11-17,76.38
155,2017-11-16,77.7
156,2017-11-15,73.43
157,2017-11-14,74.49
158,2017-11-13,74.03
159,2017-11-10,73.99
160,2017-11-09,74.1
161,2017-11-08,74.77
162,2017-11-07,74.41
163,2017-11-06,74.74
164,2017-11-03,73.39
165,2017-11-02,72.25
166,2017-11-01,72.38
167,2017-10-31,72.56
168,2017-10-30,71.15
169,2017-10-27,71.06
170,2017-10-26,71.34
171,2017-10-25,71.02
172,2017-10-24,70.21
173,2017-10-23,69.8
174,2017-10-20,70.97
175,2017-10-19,67.25
176,2017-10-18,67.26
177,2017-10-17,66.67
178,2017-10-16,67.31
179,2017-10-13,68.66
180,2017-10-12,68.86
181,2017-10-11,67.78
182,2017-10-10,66.04
183,2017-10-09,66.23
184,2017-10-06,66.05
185,2017-10-05,65.82
186,2017-10-04,64.01
187,2017-10-03,64.22
188,2017-10-02,64.18
189,2017-09-29,64.03
190,2017-09-28,63.93
191,2017-09-27,63.33
192,2017-09-26,62.94
193,2017-09-25,63.5
194,2017-09-22,65.08
195,2017-09-21,64.63
196,2017-09-20,64.74
197,2017-09-19,63.83
198,2017-09-18,62.92
199,2017-09-15,62.5
200,2017-09-14,62.24
201,2017-09-13,62.04
202,2017-09-12,62.56
203,2017-09-11,62.64
204,2017-09-08,61.13
205,2017-09-07,62.0
206,2017-09-06,61.24
207,2017-09-05,61.27
208,2017-09-01,61.46
209,2017-08-31,61.68
210,2017-08-30,61.77
211,2017-08-29,61.01
212,2017-08-28,60.53
213,2017-08-25,59.97
214,2017-08-24,60.0
215,2017-08-23,60.05
216,2017-08-22,60.84
217,2017-08-21,59.4
218,2017-08-18,59.44
219,2017-08-17,59.29
